Component Name,Atomic Level,Build Method,In Current System?,Radix Primitive,Status,Pattern Candidate,Usage,Notes,Decisions
Autocomplete,Molecule,React,Yes (as two components),TBD,Not started,No,"Text input that displays filtered suggestions as the user types. Supports single selection and multiple selection with chips displayed inside the input field (multi mode). Use for search fields, tag inputs, and any field where users need to select from a large list of options.","Consolidates Autocomplete and AutocompleteMulti from the current system into a single component with a multiple prop.","Combined Autocomplete and AutocompleteMulti into a single component with a multiple prop. In multi mode, selected items render as chips inside the input field."
Badge,Atom,CSS-only,Yes,N/A,Not started,No,"Small visual label used to communicate status, category, or a count at a glance. Frequently used as a category or status label. Typically appears alongside other UI elements (navigation items, list items, headings) rather than standalone. Badge is always read-only — for a dismissable version, use Tag.","Visually similar to Tag but non-interactive. The dismissable chip used inside Autocomplete (multi mode) is handled by Tag, not Badge.",
Button,Atom,CSS-only,Yes,N/A,Not started,No,"Triggers actions — submits forms, opens dialogs, initiates navigation. Use a native <button> element with variant and state styling applied via data-* attributes. ButtonSubmit is not a separate component — use <button type=""submit""> with the appropriate variant instead.","ButtonSubmit from the current system is replaced by native HTML type=""submit"" — no separate component needed.",Removed ButtonSubmit as a separate component. It is replaced by <button type=""submit""> with appropriate variant styling.
Card,Molecule,CSS-only,Yes,N/A,Not started,No,"Container that groups related content with a distinct visual boundary — typically uses a background, border or shadow, and padding. Used for site listings, stat summaries, content sections, and similar grouped content.",,
Checkbox,Atom,CSS-only,Yes,N/A,Not started,No,"Binary form control that lets users toggle a single option on or off, or make multiple selections from a list. Supports checked, unchecked, indeterminate, disabled, and focus states. The indeterminate state is supported but rarely used — it requires element.indeterminate = true to be set programmatically by the consumer.","Indeterminate state cannot be set via HTML alone — consumers must set it via element.indeterminate = true. This keeps the component CSS-only while still supporting the state.",
Code,Atom,CSS-only,Yes,N/A,Deferred,No,"Displays inline code snippets or blocks of code with monospace formatting.","Not building in v3 — no clear use case identified in the Dashboard that isn't already covered by Console. Can be added in a future version if needed.",Removed from v3 scope — Console covers all current monospace display needs.
Console,Organism,CSS-only,Yes (as Logs),N/A,Not started,No,"Displays terminal-style output — monospace text on a dark/inverse background. Used for environment and application log output in VIP. Supports primary output text and secondary/subdued content such as timestamps. May include a scrollable area (CSS only). A copy-to-clipboard button is not currently in scope but could be added as a future enhancement.","Previously named Logs in the current system. Renamed to Console for clarity. Copy button not included in v3 — can be added later without rebuilding the component.",
Date Cards,Atom,CSS-only,Yes (Figma only),N/A,Deferred,No,"A date selection UI that appears to be a specialized visual variant of Radio Box — allows users to select a date option presented as a card rather than a traditional radio input.","Not being built in v3. Treat as a variant of Radio Box if needed in the future.",
Date Picker,Organism,React,Yes,TBD — evaluate React Day Picker vs. custom build,Not started,No,"Form control for selecting a date or date range. Consists of a text input combined with a calendar popover. Supports single date selection and potentially date ranges. Actively used in the VIP Dashboard.","Radix does not have a Date Picker primitive. Evaluate React Day Picker before committing to a full custom build. Implementation approach TBD during Phase 5.",
Description List,Molecule,CSS-only,Yes (Storybook only),N/A,Excluded,No,"Displays key-value pairs — a label paired with its corresponding value. Used for metadata displays, detail panels, and summary sections. Styled via global CSS on native <dl> / <dt> / <dd> elements.","Not building as a component in v3 — handled by global HTML element styles instead.",Handled via global styles on native <dl> elements rather than a dedicated component.
